description,brand,calories,protein,fat,carbohydrates,fiber,sugar,sodium
"Apple, raw",,61.0,0.17,0.15,14.8,2.1,,0.0
"Rose-apples, raw",,25.0,0.6,0.3,5.7,,,0.0
"Carrots, raw, salad with apples",,181.0,0.85,16.02,8.59,2.3,,189.0
"Apples, raw, without skin",,48.0,0.27,0.13,12.8,1.3,,0.0
"Mammy-apple, (mamey), raw",,51.0,0.5,0.5,12.5,3.0,,15.0
"Sugar-apples, (sweetsop), raw",,94.0,2.06,0.29,23.6,4.4,,9.0
"Apples, raw, golden delicious, with skin",,238.0,0.28,0.15,13.6,2.4,,2.0
"Custard-apple, (bullock's-heart), raw",,101.0,1.7,0.6,25.2,2.4,,4.0
"Apples, raw, without skin, cooked, boiled",,222.0,0.26,0.36,13.6,2.4,,1.0
"Apples, raw, without skin, cooked, microwave",,234.0,0.28,0.42,14.4,2.8,,1.0
"Apples, raw, with skin (Includes foods for USDA's Food Distribution Program)",,218.0,0.26,0.17,13.8,2.4,,1.0
"Apples, raw, fuji, with skin (Includes foods for USDA's Food Distribution Program)",,63.0,0.2,0.18,15.2,2.1,,1.0
"Apples, raw, gala, with skin (Includes foods for USDA's Food Distribution Program)",,237.0,0.25,0.12,13.7,2.3,,1.0
"Clementine, raw",,53.0,0.81,0.31,13.34,1.8,,2.0
"Abiyuch, raw",,69.0,1.5,0.1,17.6,5.3,,20.0
"Apricot, raw",,48.0,1.4,0.39,11.12,2.0,,1.0
"Apricots, raw",,201.0,1.4,0.39,11.1,2.0,,1.0
"Arrowhead, raw",,99.0,5.33,0.29,20.2,,,22.0
"Arrowroot, raw",,271.0,4.24,0.2,13.4,1.3,,26.0
"Arugula, raw",,105.0,2.58,0.66,3.65,1.6,,27.0
"Asparagus, raw",,85.0,2.2,0.12,3.88,2.1,,2.0
"Asparagus, raw",,20.0,2.2,0.12,3.88,2.1,,2.0
"Avocado, raw",,160.0,2.0,14.66,8.53,6.7,,7.0
"Banana, raw",,97.0,0.74,0.28,22.71,1.7,,0.0
"Bananas, raw",,89.0,1.09,0.33,22.8,2.6,,1.0
"Basil, raw",,23.0,3.15,0.64,2.65,1.6,,4.0
"Beets, raw",,43.0,1.61,0.17,9.56,2.8,,78.0
"Beets, raw",,43.0,1.61,0.17,9.56,2.8,,78.0
"Blackberries, raw",,43.0,1.39,0.49,9.61,5.3,,1.0
"Blackberries, raw",,181.0,1.39,0.49,9.61,5.3,,1.0
"Blueberries, raw",,64.0,0.7,0.31,14.57,2.4,,0.0
"Blueberries, raw",,57.0,0.74,0.33,14.5,2.4,,1.0
"Borage, raw",,21.0,1.8,0.7,3.06,,,80.0
"Breadfruit, raw",,103.0,1.07,0.23,27.1,4.9,,2.0
"Broccoflower, raw",,31.0,2.95,0.3,6.09,3.2,,23.0
"Broccoli, raw",,39.0,2.57,0.34,6.27,2.4,,36.0
